2025-09-25 17:14:41,725 p=7132 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults 
2025-09-25 17:20:40,569 p=13787 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:20:40,684 p=13787 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:20:40,702 p=13787 u=root n=ansible | TASK [common : Ensure /usr/bin/python symlink points to python3] *********************************************************************************************
2025-09-25 17:20:40,935 p=13787 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:20:40,965 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:20:41,009 p=13787 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:20:41,039 p=13787 u=root n=ansible | TASK [common : Install prerequisites] ************************************************************************************************************************
2025-09-25 17:20:52,676 p=13787 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:20:55,177 p=13787 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:21:16,335 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:21:16,359 p=13787 u=root n=ansible | TASK [common : Add Docker CE repo (CentOS 9 Stream)] *********************************************************************************************************
2025-09-25 17:21:19,094 p=13787 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:21:19,173 p=13787 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:21:19,300 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:21:19,315 p=13787 u=root n=ansible | TASK [common : Install Docker packages] **********************************************************************************************************************
2025-09-25 17:21:23,181 p=13787 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:21:23,284 p=13787 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:21:24,456 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:21:24,473 p=13787 u=root n=ansible | TASK [common : Start and enable Docker service] **************************************************************************************************************
2025-09-25 17:21:27,262 p=13787 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:21:27,340 p=13787 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:21:27,482 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:21:27,519 p=13787 u=root n=ansible | TASK [common : Wait for Docker socket] ***********************************************************************************************************************
2025-09-25 17:21:29,576 p=13787 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:21:29,629 p=13787 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:21:29,707 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:21:29,732 p=13787 u=root n=ansible | TASK [common : Install Python Docker SDK] ********************************************************************************************************************
2025-09-25 17:21:33,160 p=13787 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:21:33,275 p=13787 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:21:33,641 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:21:33,672 p=13787 u=root n=ansible | TASK [common : Add user to docker group] *********************************************************************************************************************
2025-09-25 17:21:35,808 p=13787 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:21:35,862 p=13787 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:21:35,973 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:21:35,984 p=13787 u=root n=ansible | TASK [common : Docker login via CLI] *************************************************************************************************************************
2025-09-25 17:21:40,304 p=13787 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:21:40,394 p=13787 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:21:40,599 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:21:40,785 p=13787 u=root n=ansible | PLAY [Initialize Swarm on master] ****************************************************************************************************************************
2025-09-25 17:21:40,841 p=13787 u=root n=ansible | TASK [swarm_init : Initialize Docker Swarm if not already part of one] ***************************************************************************************
2025-09-25 17:21:42,365 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:21:42,389 p=13787 u=root n=ansible | TASK [swarm_init : Check if Swarm is active] *****************************************************************************************************************
2025-09-25 17:21:44,335 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:21:44,361 p=13787 u=root n=ansible | TASK [swarm_init : Save worker join token (only if master)] **************************************************************************************************
2025-09-25 17:21:45,747 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:21:45,765 p=13787 u=root n=ansible | TASK [swarm_init : Write join token to file] *****************************************************************************************************************
2025-09-25 17:21:48,355 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:21:48,442 p=13787 u=root n=ansible | PLAY [Join workers to Swarm] *********************************************************************************************************************************
2025-09-25 17:21:48,504 p=13787 u=root n=ansible | TASK [swarm_join : Check if node is already part of a Swarm] *************************************************************************************************
2025-09-25 17:21:50,051 p=13787 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:21:50,117 p=13787 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:21:50,136 p=13787 u=root n=ansible | TASK [swarm_join : Join worker to Swarm] *********************************************************************************************************************
2025-09-25 17:21:51,992 p=13787 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:21:52,036 p=13787 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:21:52,182 p=13787 u=root n=ansible | PLAY [Deploy DB stack on master] *****************************************************************************************************************************
2025-09-25 17:21:52,226 p=13787 u=root n=ansible | TASK [db_stack : Ensure /opt/wordpress directory exists] *****************************************************************************************************
2025-09-25 17:21:53,549 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:21:53,574 p=13787 u=root n=ansible | TASK [db_stack : Deploy DB stack] ****************************************************************************************************************************
2025-09-25 17:21:56,556 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:21:56,590 p=13787 u=root n=ansible | TASK [db_stack : Start DB stack] *****************************************************************************************************************************
2025-09-25 17:22:01,639 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:22:01,808 p=13787 u=root n=ansible | PLAY [Deploy WordPress stack on Swarm] ***********************************************************************************************************************
2025-09-25 17:22:01,952 p=13787 u=root n=ansible | TASK [wordpress_stack : Deploy WordPress stack] **************************************************************************************************************
2025-09-25 17:22:05,223 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:22:05,259 p=13787 u=root n=ansible | TASK [wordpress_stack : Start WordPress stack] ***************************************************************************************************************
2025-09-25 17:22:10,368 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:22:10,508 p=13787 u=root n=ansible | PLAY RECAP ***************************************************************************************************************************************************
2025-09-25 17:22:10,508 p=13787 u=root n=ansible | test-master                : ok=23   changed=13   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
